S.NO,Localities,Addresses,PointofContact,ChargingSlots
603,Cortona Inn and Suites Anaheim Resort,"2029 S Harbor BlvdAnaheim, California 92802","Phone (800) 416-7350

                                                   ","Charging
2 Tesla Connectors"
604,Corvus Cellars,"760 C StWalla Walla, WA 99362","Phone (509) 241-0318

                                                   ","Charging
2 Tesla Connectors"
605,Costa d'Este Beach Resort & Spa,"3244 Ocean DrVero Beach, FL 32963","Phone (772) 562-9919

                                                   ","Charging
2 Tesla Connectors"
606,Cottage Inn By the Sea,"2351 Price StPismo Beach, California 93449","Phone (805) 773-4617

                                                   ","Charging
1 Tesla Connector"
607,"Country Inn & Suites - Burlington, NC","3211 Wilson DrBurlington, NC 27215","Phone (336) 584-1115

                                                   ","Charging
1 Tesla Connector"
608,"Country Inn & Suites By Carlson, Cortland, NY","3707 State Rte 281Cortland, New York 13045","Phone (607) 753-8300

                                                   ","Charging
2 Tesla Connectors"
609,"Country Inn & Suites By Carlson, Richmond W I-64","8010 W Broad StRichmond, Virginia 23294","Phone (804) 755-6605

                                                   ","Charging
2 Tesla Connectors"
610,"Country Inn & Suites By Carlson, Roanoke, VA","7860 Plantation RdRoanoke, Virginia 24019","Phone (540) 366-5678

                                                   ","Charging
4 Tesla Connectors"
611,"Country Inn & Suites By Carlson, Rochester-Pittsford","2835 Monroe AveRochester, New York 14618","Phone (585) 784-8400

                                                   ","Charging
3 Tesla Connectors"
612,"Country Inn & Suites by Radisson, Rochester Airport","797 E Henrietta RdRochester, New York 14623","Phone (585) 427-0131

                                                   ","Charging
2 Tesla Connectors"
613,Country Inn & Suites State College,"1357 E College AveState College, PA 16801","Phone (814) 234-6000

                                                   ","Charging
2 Tesla Connectors"
614,"County Line Liquors, Inc.","2885 N Thompson StSpringdale, AR 72764","Phone (479) 750-7500

                                                   ","Charging
1 Tesla Connector"
615,County Line Restaurant,"14206 Rte 35Richfield, PA 17086","Phone (717) 694-3535

                                                   ","Charging
1 Tesla Connector"
616,Courtwood Inn,"2081 Ponderosa WayMurphys, CA 95247","Phone (209) 728-8686

                                                   ","Charging
1 Tesla Connector"
617,Courtyard Atlanta NE/Duluth Sugarloaf,"1948 Satellite BlvdDuluth, Georgia 30097","Phone (770) 622-6427

                                                   ","Charging
2 Tesla Connectors"
618,Courtyard Blacksburg,"105 Southpark DrBlacksburg, Virginia 24060","Phone (540) 552-5222

                                                   ","Charging
2 Tesla Connectors"
619,Courtyard by Marriott - Killeen,"1721 E Central Texas ExpyKilleen, TX 76541","Phone (254) 616-2000

                                                   ","Charging
1 Tesla Connector"
620,Courtyard by Marriott Bowling Green Convention Cntr,"1010 Wilkinson TraceBowling Green, Kentucky 42104","Phone (270) 783-8569

                                                   ","Charging
4 Tesla Connectors"
621,Courtyard by Marriott Cocoa Beach,"3435 N Atlantic AveCocoa Beach, FL 32931","Phone (321) 784-4800

                                                   ","Charging
1 Tesla Connector"
622,Courtyard by Marriott Downtown Akron,"41 Furnace StAkron, Ohio 44308","Phone (330) 252-9228

                                                   ","Charging
1 Tesla Connector"
623,Courtyard by Marriott El Paso East/I-10,"12065 Gateway Blvd WEl Paso, Texas 79936","Phone (915) 859-3336

                                                   ","Charging
3 Tesla Connectors"
624,Courtyard by Marriott Elmira Horseheads,"202 Colonial DrHorseheads, New York 14845","Phone (607) 795-5900

                                                   ","Charging
2 Tesla Connectors"
625,Courtyard by Marriott Hamilton,"1 Riverfront PlazaHamilton, Ohio 45011","Phone (513) 896-6200

                                                   ","Charging
2 Tesla Connectors"
626,Courtyard By Marriott Hotel & Event Center,"901 Raintree RdMankato, MN 56001","Phone (507) 388-1234

                                                   ","Charging
2 Tesla Connectors"
627,Courtyard by Marriott Kingston,"500 Frank Sottile BlvdKingston, NY 12401","Phone (845) 382-2300

                                                   ","Charging
2 Tesla Connectors"
628,Courtyard by Marriott Kingston,"500 Frank Sottile BlvdKingston, New York 12401","Phone (845) 382-2300

                                                   ","Charging
2 Tesla Connectors"
629,Courtyard by Marriott La Grange,"25 W LaFayette SqLaGrange, Georgia 30240","Phone (706) 668-5600

                                                   ","Charging
3 Tesla Connectors"
630,Courtyard by Marriott Liberty University/Lynchburg,"4640 Murray PlLynchburg, Virginia 24502","Phone (434) 846-7900

                                                   ","Charging
2 Tesla Connectors"
631,Courtyard By Marriott Reno,"6855 S Virginia StReno, NV 89511","Phone (775) 851-8300

                                                   ","Charging
2 Tesla Connectors"
632,Courtyard by Marriott Rock Hill,"1300 River Run CtRock Hill, South Carolina 29732","Phone (803) 324-1400

                                                   ","Charging
3 Tesla Connectors"
633,Courtyard by Marriott Sandestin at Grand Boulevard,"100 Grand BlvdMiramar Beach, Florida 32550","Phone (850) 650-7411

                                                   ","Charging
1 Tesla Connector"
634,Courtyard by Marriott Santa Monica,"425 Colorado AveSanta Monica, California 90401","Phone (310) 394-1700

                                                   ","Charging
3 Tesla Connectors"
635,Courtyard by Marriott Seattle Bellevue/Downtown,"11010 NE 8th StBellevue, Washington 98004","Phone (425) 454-5888

                                                   ","Charging
2 Tesla Connectors"
636,Courtyard by Marriott Solana Beach,"717 S Hwy 101Solana Beach, CA 92075","Phone (858) 792-8200

                                                   ","Charging
4 Tesla Connectors"
637,Courtyard by Marriott St. Augustine Beach,"605 A1A Beach BlvdSt Augustine Beach, Florida 32080","Phone (904) 940-3800

                                                   ","Charging
5 Tesla Connectors"
638,Courtyard by Marriott Tampa Brandon,"10152 Palm River RdTampa, Florida 33619","Phone (813) 661-9559

                                                   ","Charging
1 Tesla Connector"
639,Courtyard by Marriott Warner Robins,"589 Carl Vinson PkwyWarner Robbins, Georgia 31088","Phone (478) 602-6200

                                                   ","Charging
2 Tesla Connectors"
640,Courtyard Columbus,"1995 6th St NColumbus, Mississippi 39701","Phone (662) 245-1540

                                                   ","Charging
3 Tesla Connectors"
641,Courtyard Dayton-University of Dayton,"2006 S. Edwin C. Moses BlvdDayton, Ohio 45417","Phone (937) 220-9060

                                                   ","Charging
2 Tesla Connectors"
642,Courtyard Denver North/Westminster,"14355 Orchard PkwyWestminster, Colorado 80023","Phone (720) 639-7701

                                                   ","Charging
2 Tesla Connectors"
643,Courtyard Jacksonville Mayo Clinic/Beaches,"14390 Mayo BlvdJacksonville, Florida 32224","Phone (904) 223-1700

                                                   ","Charging
2 Tesla Connectors"
644,Courtyard Los Angeles L.A. Live,"901 W Olympic BlvdLos Angeles, CA 90015","Phone (231) 443-9200

                                                   ","Charging
1 Tesla Connector"
645,Courtyard Louisville Downtown,"100 S 2nd StLouisville, KY 40202","Phone (502) 562-0200

                                                   ","Charging
1 Tesla Connector"
646,Courtyard Marriott Lake Jackson,"159 County Rd 288Lake Jackson, Texas 77566","Phone (979) 297-7300

                                                   ","Charging
2 Tesla Connectors"
647,Courtyard Marriott Palo Alto-Los Altos,"4320 El Camino RealLos Altos, California 94022","Phone (650) 941-9900

                                                   ","Charging
8 Tesla Connectors"
648,Courtyard New Braunfels River Village,"750  IH-35 NNew Braunfels, Texas 78130","Phone (830) 626-4700

                                                   ","Charging
2 Tesla Connectors"
649,Courtyard Orlando Downtown,"730 N Magnolia AveOrlando, Florida 32803","Phone (407) 996-1000

                                                   ","Charging
1 Tesla Connector"
650,Courtyard Philadelphia City Avenue,"4100 Presidential BlvdPhiladelphia, PA 19131","Phone (215) 458-2123

                                                   ","Charging
2 Tesla Connectors"
651,Courtyard Philadelphia-Springfield,"400 W Sproul RdSpringfield, Pennsylvania 19064","Phone (610) 543-1080

                                                   ","Charging
2 Tesla Connectors"
652,Courtyard Reno Downtown,"1 Ballpark LnReno, Nevada 89501","Phone (775) 324-0400

                                                   ","Charging
2 Tesla Connectors"
653,Courtyard Sedona,"4105 W State Route 89ASedona, Arizona 86336","Phone (928) 325-0055

                                                   ","Charging
2 Tesla Connectors"
654,Courtyard Washington Embassy Row,"1600 Rhode Island Ave NWWashington, DC 20036","Phone (202) 293-8000

                                                   ","Charging
2 Tesla Connectors"
655,Courtyard Wausau,"1000 S 22nd AveWausau, WI 54401","Phone (715) 849-2124

                                                   ","Charging
1 Tesla Connector"
656,Coyote Creek Golf Club,"1 Coyote Creek Golf DrMorgan Hill, California 95037","Phone (408) 463-1400

                                                   ","Charging
4 Tesla Connectors"
